season,rank,team,power
2025,1,Ohio State,4130.0
2025,2,Alabama,3906.0
2025,3,Penn State,3878.0
2025,4,Georgia,3766.0
2025,5,Texas,3696.0
2025,6,Notre Dame,3486.0
2025,7,Oregon,3458.0
2025,8,Clemson,3262.0
2025,9,LSU,3094.0
2025,10,Michigan,3010.0
2025,11,Ole Miss,2772.0
2025,12,Miami,2632.0
2025,13,Tennessee,2576.0
2025,14,Florida,2422.0
2025,15,Texas A&M,2408.0
2025,16,Oklahoma,2310.0
2025,17,South Carolina,2254.0
2025,18,Kansas State,2184.0
2025,19,Illinois,2002.0
2025,20,SMU,1834.0
2025,21,Missouri,1750.0
2025,22,Arizona State,1708.0
2025,22,Indiana,1708.0
2025,23,Louisville,1694.0
2025,24,Auburn,1652.0
2025,24,Texas Tech,1652.0
2025,25,BYU,1610.0
2025,26,Iowa,1596.0
2025,27,TCU,1554.0
2025,28,USC,1540.0
2025,28,Utah,1540.0
2025,28,Iowa State,1540.0
2025,29,Boise State,1288.0
2025,30,Nebraska,1246.0
2025,31,Baylor,1050.0
2025,32,Florida State,1008.0
2025,32,Wisconsin,1008.0
2025,33,Arkansas,980.0
2025,34,Washington,896.0
2025,35,Minnesota,840.0
2025,36,Duke,686.0
2025,37,NC State,672.0
2025,38,Kentucky,658.0
2025,38,Georgia Tech,658.0
2025,38,Rutgers,658.0
2025,39,Virginia Tech,602.0
2025,40,Pittsburgh,476.0
2025,41,Tulane,462.0
2025,42,James Madison,420.0
2025,42,Kansas,420.0
2025,43,UCLA,406.0
2025,44,Colorado,364.0
2025,45,Memphis,294.0
2025,46,North Carolina,280.0
2025,47,Vanderbilt,238.0
2025,48,Syracuse,224.0
2025,49,West Virginia,140.0
2025,50,Houston,126.0
2025,50,Oklahoma State,126.0
2025,51,Arizona,98.0
2025,52,UCF,56.0
2025,53,Boston College,42.0
2025,54,UTSA,0.0
2025,55,Michigan State,-28.0
2025,56,California,-42.0
2025,56,Cincinnati,-42.0
2025,57,nationalAverages,-46.52941176470588
2025,58,Army,-84.0
2025,59,Navy,-140.0
2025,60,Liberty,-154.0
2025,60,Maryland,-154.0
2025,61,Toledo,-196.0
2025,61,Mississippi State,-196.0
2025,62,Oregon State,-336.0
2025,63,Louisiana,-434.0
2025,64,UNLV,-462.0
2025,65,South Alabama,-476.0
2025,66,South Florida,-490.0
2025,67,Georgia Southern,-560.0
2025,68,Virginia,-602.0
2025,69,Ohio,-616.0
2025,70,Wake Forest,-644.0
2025,71,Washington State,-672.0
2025,72,San José State,-728.0
2025,73,UConn,-756.0
2025,74,Western Kentucky,-812.0
2025,75,Troy,-840.0
2025,76,Northwestern,-854.0
2025,77,Stanford,-868.0
2025,77,Fresno State,-868.0
2025,78,East Carolina,-924.0
2025,79,Buffalo,-994.0
2025,80,North Texas,-1008.0
2025,80,Texas State,-1008.0
2025,81,Air Force,-1022.0
2025,81,Coastal Carolina,-1022.0
2025,82,Miami (OH),-1064.0
2025,83,Colorado State,-1162.0
2025,84,App State,-1232.0
2025,85,Marshall,-1316.0
2025,86,Arkansas State,-1386.0
2025,87,Purdue,-1400.0
2025,88,San Diego State,-1414.0
2025,89,Old Dominion,-1428.0
2025,90,Jacksonville State,-1456.0
2025,91,Wyoming,-1512.0
2025,92,Northern Illinois,-1540.0
2025,93,Sam Houston,-1554.0
2025,94,Hawai'i,-1610.0
2025,95,Louisiana Tech,-1666.0
2025,96,Delaware,-1820.0
2025,97,Bowling Green,-1918.0
2025,98,UAB,-1932.0
2025,99,Eastern Michigan,-1988.0
2025,100,Georgia State,-2002.0
2025,101,Florida Atlantic,-2016.0
2025,102,UL Monroe,-2044.0
2025,103,Utah State,-2072.0
2025,103,Western Michigan,-2072.0
2025,103,Central Michigan,-2072.0
2025,104,Tulsa,-2184.0
2025,105,Rice,-2212.0
2025,106,New Mexico State,-2240.0
2025,107,UTEP,-2254.0
2025,108,Nevada,-2282.0
2025,109,Temple,-2296.0
2025,109,Middle Tennessee,-2296.0
2025,110,Missouri State,-2464.0
2025,111,Southern Miss,-2478.0
2025,112,Florida International,-2520.0
2025,113,New Mexico,-2576.0
2025,114,Kennesaw State,-2646.0
2025,115,Akron,-2702.0
2025,116,Charlotte,-2716.0
2025,117,Ball State,-2968.0
2025,118,Massachusetts,-3346.0
2025,119,Kent State,-3486.0
